machine_code,cycle_start_time,channel_code,min_stress,max_stress,life,damage,cycle_start_time_5min,sum_payload,count_payload,avg_payload
RTIO_MJ_15H225,2025-05-01 12:40:00,SG01,33.234667,64.684,36.132672,1.20442241457204e-05,2025-05-01 12:40:00,274.875666,7.0,39.26795228571429
RTIO_MJ_15H225,2025-05-01 12:45:00,SG01,23.484,26.093333,0.626662,2.08887360768951e-07,,,,
RTIO_MJ_15H225,2025-05-01 12:50:00,SG01,31.724,72.649333,25.214895,8.40496486956202e-06,2025-05-01 12:50:00,235.762382,6.0,39.293730333333336
RTIO_MJ_15H225,2025-05-01 12:55:00,SG01,25.681333,54.521333,8.353283,2.78442768431838e-06,2025-05-01 12:55:00,38.232717,1.0,38.232717
RTIO_MJ_15H225,2025-05-01 13:00:00,SG01,32.548,74.572,31.722066,1.05740219246578e-05,2025-05-01 13:00:00,235.063353,6.0,39.1772255
RTIO_MJ_15H225,2025-05-01 13:05:00,SG01,74.984,81.026667,71.331389,2.37771296423813e-05,2025-05-01 13:05:00,39.359729,1.0,39.359729
RTIO_MJ_15H225,2025-05-01 13:10:00,SG01,67.430667,43.946667,51.523977,1.71746589742765e-05,2025-05-01 13:10:00,41.778715,1.0,41.778715
RTIO_MJ_15H225,2025-05-01 13:15:00,SG01,54.109333,59.74,27.077704,9.02590137915732e-06,2025-05-01 13:15:00,183.052194,6.0,30.508698999999996
RTIO_MJ_15H225,2025-05-01 13:20:00,SG01,47.242667,56.718667,23.989568,7.99652265208041e-06,2025-05-01 13:20:00,185.252695,6.0,30.875449166666666
RTIO_MJ_15H225,2025-05-01 13:25:00,SG01,17.716,-17.029333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 13:30:00,SG01,17.716,-16.205333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 13:35:00,SG01,16.617333,-15.793333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 13:40:00,SG01,16.205333,-15.518667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 13:45:00,SG01,23.758667,55.208,9.427631,3.14254373708298e-06,2025-05-01 13:45:00,64.175991,2.0,32.0879955
RTIO_MJ_15H225,2025-05-01 13:50:00,SG01,24.582667,59.465333,22.726402,7.57546723010743e-06,2025-05-01 13:50:00,241.077108,8.0,30.1346385
RTIO_MJ_15H225,2025-05-01 13:55:00,SG01,37.492,76.494667,34.128428,1.1376142634082e-05,2025-05-01 13:55:00,254.569592,7.0,36.36708457142857
RTIO_MJ_15H225,2025-05-01 14:00:00,SG01,28.016,64.409333,12.737599,4.24586629992388e-06,2025-05-01 14:00:00,64.896388,2.0,32.448194
RTIO_MJ_15H225,2025-05-01 14:05:00,SG01,29.938667,53.697333,23.950576,7.98352535642631e-06,2025-05-01 14:05:00,207.889205,6.0,34.648200833333334
RTIO_MJ_15H225,2025-05-01 14:10:00,SG01,31.037333,40.513333,2.157978,7.19325920572001e-07,,,,
RTIO_MJ_15H225,2025-05-01 14:15:00,SG01,1.785333,3.708,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 14:20:00,SG01,4.532,-1.510667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 14:25:00,SG01,6.317333,-4.12,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 14:30:00,SG01,9.064,-6.317333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 14:35:00,SG01,10.162667,-8.652,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 14:40:00,SG01,10.574667,-9.750667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 14:45:00,SG01,21.149333,30.213333,1.58369,5.27896704199287e-07,,,,
RTIO_MJ_15H225,2025-05-01 14:50:00,SG01,53.422667,47.654667,7.669292,2.5564307390198e-06,,,,
RTIO_MJ_15H225,2025-05-01 14:55:00,SG01,37.766667,67.430667,14.090779,4.69692637207464e-06,2025-05-01 14:55:00,79.99951300000001,3.0,26.666504333333336
RTIO_MJ_15H225,2025-05-01 15:00:00,SG01,51.912,52.186667,34.456579,1.14855261667416e-05,2025-05-01 15:00:00,58.922353,3.0,19.640784333333333
RTIO_MJ_15H225,2025-05-01 15:05:00,SG01,71.962667,49.989333,33.383649,1.11278831000109e-05,2025-05-01 15:05:00,50.151973999999996,2.0,25.075986999999998
