machine_code,cycle_start_time,cycle_end_time,cycle_time,avg_payload
RTIO_MJ_15H225,1/05/2025 5:56:42,1/05/2025 5:56:57,15,40.550891
RTIO_MJ_15H225,1/05/2025 5:57:14,1/05/2025 5:57:28,14,30.635035
RTIO_MJ_15H225,1/05/2025 5:57:50,1/05/2025 5:58:14,24,37.730929
RTIO_MJ_15H225,1/05/2025 5:58:33,1/05/2025 5:58:46,13,44.162594
RTIO_MJ_15H225,1/05/2025 5:59:11,1/05/2025 5:59:26,15,39.240608
RTIO_MJ_15H225,1/05/2025 5:59:46,1/05/2025 6:00:00,14,38.5554
RTIO_MJ_15H225,1/05/2025 6:00:21,1/05/2025 6:00:35,14,36.548928
RTIO_MJ_15H225,1/05/2025 6:01:01,1/05/2025 6:01:14,13,34.646659
RTIO_MJ_15H225,1/05/2025 6:01:31,1/05/2025 6:01:44,13,31.872569
RTIO_MJ_15H225,1/05/2025 6:02:08,1/05/2025 6:03:03,55,27.493376
RTIO_MJ_15H225,1/05/2025 6:03:29,1/05/2025 6:03:41,12,27.188402
RTIO_MJ_15H225,1/05/2025 6:04:01,1/05/2025 6:04:25,24,37.704752
RTIO_MJ_15H225,1/05/2025 6:05:18,1/05/2025 6:05:32,14,37.705176
RTIO_MJ_15H225,1/05/2025 6:05:56,1/05/2025 6:06:09,13,29.979702
RTIO_MJ_15H225,1/05/2025 6:06:30,1/05/2025 6:06:47,17,44.730242
RTIO_MJ_15H225,1/05/2025 6:07:08,1/05/2025 6:07:25,17,46.848165
RTIO_MJ_15H225,1/05/2025 6:08:53,1/05/2025 6:08:56,3,28.921688
RTIO_MJ_15H225,1/05/2025 6:10:11,1/05/2025 6:11:38,87,32.35715
RTIO_MJ_15H225,1/05/2025 6:11:56,1/05/2025 6:12:06,10,31.72229
RTIO_MJ_15H225,1/05/2025 6:12:31,1/05/2025 6:12:43,12,27.249657
RTIO_MJ_15H225,1/05/2025 6:13:01,1/05/2025 6:13:13,12,34.017464
RTIO_MJ_15H225,1/05/2025 6:13:32,1/05/2025 6:13:44,12,32.435106
RTIO_MJ_15H225,1/05/2025 6:14:10,1/05/2025 6:14:22,12,32.169821
RTIO_MJ_15H225,1/05/2025 6:14:39,1/05/2025 6:14:51,12,31.6542
RTIO_MJ_15H225,1/05/2025 6:15:10,1/05/2025 6:15:22,12,36.992879
RTIO_MJ_15H225,1/05/2025 6:15:44,1/05/2025 6:15:59,15,27.54399
RTIO_MJ_15H225,1/05/2025 6:16:43,1/05/2025 6:16:58,15,33.798142
RTIO_MJ_15H225,1/05/2025 6:17:18,1/05/2025 6:17:29,11,34.749279
RTIO_MJ_15H225,1/05/2025 6:18:01,1/05/2025 6:18:11,10,30.825616
RTIO_MJ_15H225,1/05/2025 6:18:30,1/05/2025 6:18:39,9,29.181691
RTIO_MJ_15H225,1/05/2025 6:19:02,1/05/2025 6:19:13,11,36.066389
RTIO_MJ_15H225,1/05/2025 6:19:36,1/05/2025 6:19:46,10,33.433276
RTIO_MJ_15H225,1/05/2025 6:20:16,1/05/2025 6:20:27,11,35.96533
RTIO_MJ_15H225,1/05/2025 6:20:47,1/05/2025 6:20:58,11,31.146423
RTIO_MJ_15H225,1/05/2025 6:21:13,1/05/2025 6:21:22,9,19.589283
RTIO_MJ_15H225,1/05/2025 6:22:23,1/05/2025 6:22:28,5,28.371108
RTIO_MJ_15H225,1/05/2025 6:25:48,1/05/2025 6:27:18,90,32.008154
RTIO_MJ_15H225,1/05/2025 6:27:43,1/05/2025 6:27:59,16,35.092135
RTIO_MJ_15H225,1/05/2025 6:28:25,1/05/2025 6:28:42,17,35.218078
RTIO_MJ_15H225,1/05/2025 6:29:03,1/05/2025 6:29:15,12,36.39169
RTIO_MJ_15H225,1/05/2025 6:29:35,1/05/2025 6:29:46,11,41.198923
RTIO_MJ_15H225,1/05/2025 6:30:08,1/05/2025 6:30:20,12,42.884695
RTIO_MJ_15H225,1/05/2025 6:30:41,1/05/2025 6:30:54,13,42.329667
RTIO_MJ_15H225,1/05/2025 6:31:14,1/05/2025 6:31:45,31,26.869955
RTIO_MJ_15H225,1/05/2025 6:32:02,1/05/2025 6:32:13,11,41.50457
RTIO_MJ_15H225,1/05/2025 6:32:35,1/05/2025 6:32:47,12,38.831978
RTIO_MJ_15H225,1/05/2025 6:33:07,1/05/2025 6:33:19,12,41.775652
RTIO_MJ_15H225,1/05/2025 6:33:38,1/05/2025 6:33:49,11,35.018234
RTIO_MJ_15H225,1/05/2025 6:34:11,1/05/2025 6:34:23,12,40.057332
RTIO_MJ_15H225,1/05/2025 6:34:44,1/05/2025 6:34:55,11,40.46496
RTIO_MJ_15H225,1/05/2025 6:35:14,1/05/2025 6:35:26,12,28.132074
RTIO_MJ_15H225,1/05/2025 7:06:46,1/05/2025 7:06:56,10,18.031393
RTIO_MJ_15H225,1/05/2025 7:16:53,1/05/2025 7:16:59,6,17.505737
RTIO_MJ_15H225,1/05/2025 7:17:15,1/05/2025 7:17:22,7,26.970376
RTIO_MJ_15H225,1/05/2025 7:17:39,1/05/2025 7:17:49,10,16.793941
RTIO_MJ_15H225,1/05/2025 7:18:08,1/05/2025 7:18:16,8,24.4129
RTIO_MJ_15H225,1/05/2025 8:12:41,1/05/2025 8:14:07,86,12.764129
RTIO_MJ_15H225,1/05/2025 8:39:26,1/05/2025 8:41:54,148,22.029674
RTIO_MJ_15H225,1/05/2025 8:43:02,1/05/2025 8:44:33,91,20.649817
RTIO_MJ_15H225,1/05/2025 8:44:57,1/05/2025 8:45:08,11,20.021965
RTIO_MJ_15H225,1/05/2025 8:45:29,1/05/2025 8:45:41,12,30.814049
RTIO_MJ_15H225,1/05/2025 8:46:01,1/05/2025 8:46:12,11,42.310772
RTIO_MJ_15H225,1/05/2025 8:46:35,1/05/2025 8:46:48,13,36.705275
RTIO_MJ_15H225,1/05/2025 8:47:08,1/05/2025 8:47:21,13,38.932961
RTIO_MJ_15H225,1/05/2025 8:47:43,1/05/2025 8:47:58,15,35.990336
